seconds_elapsed,z,y,x,a,ave,std
25.93840796,0.288281228,0.5436264,-0.986429131,1.126309058,1.053692395,0.597782977
25.94839014,0.619836364,0.750489866,-0.176757958,0.771024263,1.071747842,0.602412428
25.9583728,0.817512899,0.65934829,0.619465193,0.904697349,1.236862062,0.713412648
25.9683562,0.16183453,0.359855641,1.179005128,1.232699953,1.409312046,0.813661465
25.97833911,-0.429796315,1.08483814,1.555788596,1.896668644,1.458123478,0.816239306
25.98832178,0.028860184,1.943518917,1.189543547,2.278657418,1.333112058,0.835015564
25.99830493,0.213598035,0.821944744,0.337135311,0.888399336,1.22801648,0.773247337
26.00828687,0.463216646,0.152062201,-0.509748681,0.531946078,1.279271187,0.76599014
26.01827026,0.254670634,0.533519432,-0.557015203,0.771303391,1.379948912,0.726282969
26.02825366,-0.298933554,0.101812607,-0.088984407,0.135218459,1.476374017,0.702701745
26.03823633,-0.005233224,-1.025334397,0.810297269,1.306863531,1.646481916,0.545836705
26.04821973,0.715377344,-1.845574091,1.568676719,2.422166463,1.686970863,0.534032135
26.05820264,0.879493555,-1.982024296,1.727500377,2.62919719,1.545361957,0.507392917
26.06818555,1.016061249,-1.40488901,0.993724622,1.72081427,1.355136731,0.413246534
26.07816748,1.278293551,-0.566772298,-0.311129896,0.646554445,1.298745543,0.397681293
26.08815063,1.055795294,0.318687179,-1.185617898,1.22770164,1.329968318,0.355243204
26.09813379,0.890187383,0.511929532,-1.304062491,1.400946403,1.281641995,0.396359661
26.10811646,1.159655189,0.232329915,-1.521082609,1.538723332,1.215616346,0.424948415
26.11809937,1.493895619,-0.116795072,-1.731620087,1.73555444,1.212560549,0.422717988
